text,address,time,link,price
"
                                                                                        Tour Miền Bắc 4N3D: Bái Đính - Tràng An - Hạ Long
                                                                                    ",https://www.ivivu.com/du-lich/tour-mien-bac-4n3d-ha-noi-bai-dinh-trang-an-ha-long/924,Khởi hành: 05-06-2019,//cdn2.ivivu.com/2019/02/19/14/ivivu-tour-mien-bac-4n3d-ha-noi-bai-dinh-trang-an-ha-long-ha-noi-trang-an-home-204x153.jpg,4.750.000
"
                                                                                        Tour Miền Bắc 5N4D: Sapa - Hạ Long
                                                                                    ",https://www.ivivu.com/du-lich/tour-mien-bac-5n4d-sapa-ha-long/925,Khởi hành: 05-06-2019,//cdn2.ivivu.com/2019/02/19/15/ivivu-tour-mien-bac-5n4d-ha-noi-sapa-ha-long-ha-noi-sapa-home1-204x153.jpg,5.980.000
"
                                                                                        Tour Miền Bắc 6N5D: Hà Nội - Chùa Hương- Sapa - Hạ Long - Hà Nội
                                                                                    ",https://www.ivivu.com/du-lich/tour-mien-bac-6n5d-ha-noi-chua-huong-sapa-halong-ha-noi/926,Khởi hành: 05-06-2019,//cdn2.ivivu.com/2019/02/19/15/ivivu-tour-mien-bac-5n4d-ha-noi-sapa-ha-long-ha-noi-sapa-home-204x153.jpg,6.870.000
"
                                                                                        Tour Miền Bắc 6N5D: Hà Nội - Bái Đính - Tràng An - Sapa - Hạ Long - Hà Nội
                                                                                    ",https://www.ivivu.com/du-lich/tour-mien-bac-6n5d-ha-noi-bai-dinh-trang-an-sapa-ha-long-ha-noi/927,Khởi hành: 05-06-2019,//cdn2.ivivu.com/2019/02/20/10/tour-mien-bac-6n5d-ha-noi-chua-huong-sapa-halong-ha-noi-home-204x153.jpg,6.980.000
"
                                                                                        Tour Miền Bắc 3N2D: Hà Nội - Sapa
                                                                                    ",https://www.ivivu.com/du-lich/tour-mien-bac-3n2d-ha-noi-sapa/928,Khởi hành: 05-06-2019,//cdn2.ivivu.com/2019/02/20/10/tour-mien-bac-6n5d-ha-noi-chua-huong-sapa-halong-ha-noi-home-204x153.jpg,3.590.000
"
                                                                                        Tour Miền Bắc 2N1D: Hà Nội - Hạ Long
                                                                                    ",https://www.ivivu.com/du-lich/tour-mien-bac-2n1d-ha-noi-ha-long/929,Khởi hành: 05-06-2019,//cdn2.ivivu.com/2019/02/19/14/ivivu-tour-mien-bac-3n2d-hanoi-halong-hanoi-home-204x153.jpg,2.990.000
"
                                                                                        Tour Miền Bắc 2N1D: Hà Nội - Cát Cát - Hàm Rồng
                                                                                    ",https://www.ivivu.com/du-lich/tour-mien-bac-2n1d-ha-noi-cat-cat-ham-rong/930,Khởi hành: 05-06-2019,//cdn2.ivivu.com/2019/02/20/10/tour-mien-bac-6n5d-ha-noi-chua-huong-sapa-halong-ha-noi-home-204x153.jpg,2.290.000
"
                                                                                        Tour Miền Bắc 3N2D: Sapa - Cát Cát - Hàm Rồng - Đỉnh FANSIPAN
                                                                                    ",https://www.ivivu.com/du-lich/tour-mien-bac-3n2d-sapa-cat-cat-ham-rong-dinh-fansipan/931,Khởi hành: 05-06-2019,//cdn2.ivivu.com/2019/02/19/15/ivivu-tour-mien-bac-5n4d-ha-noi-sapa-ha-long-ha-noi-sapa-home1-204x153.jpg,3.590.000
"
                                                                                        Tour Miền Bắc 2N3D: Hà Nội - Lào Cai - Sapa - Cát Cát - Hàm Rồng
                                                                                    ",https://www.ivivu.com/du-lich/tour-mien-bac-3n2d-ha-noi-lao-cai-sapa-cat-cat-ham-rong/932,Khởi hành: 05-06-2019,//cdn2.ivivu.com/2019/02/20/10/tour-mien-bac-6n5d-ha-noi-chua-huong-sapa-halong-ha-noi-home-204x153.jpg,3.150.000
"
                                                                                        Tour Miền Bắc 3N4D: Hà Nội - Sapa - Cát Cát - Hàm Rồng - Lao Chải - Tả Van
                                                                                    ",https://www.ivivu.com/du-lich/tour-mien-bac-3n4d-ha-noi-sapa-cat-cat-ham-rong-lao-chai-ta-van/933,Khởi hành: 05-06-2019,//cdn2.ivivu.com/2019/02/20/10/tour-mien-bac-6n5d-ha-noi-chua-huong-sapa-halong-ha-noi-home-204x153.jpg,4.450.000
