text,address,time,link,price
"
                    Tour du lịch Hà Nội - Sapa - Hạ Long trong 5 ngày 4 đêm
                ",https://mytour.vn/tour/9133-tour-du-lich-ha-noi-sapa-ha-long-trong-5-ngay-4-dem.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/inp1441353598_tour-du-lich-ha-noi-sapa-ha-long-trong-5-ngay-4-dem.jpg","5,490,000"
"
                    Tour du lịch hà Nội - Sapa - Hạ Long - Ninh Bình 6 ngày 5 đêm
                ",https://mytour.vn/tour/9134-tour-du-lich-ha-noi-sapa-ha-long-ninh-binh-6-ngay-5-dem.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/ihp1441354179_tour-du-lich-ha-noi-sapa-ha-long-ninh-binh-6-ngay-5-dem.jpg","6,150,000"
"
                    HÀ NỘI – QUẢN BẠ - YÊN MINH – CỘT CỜ LŨNG CÚ –  PHỐ CỔ ĐỒNG VĂN - HÀ NỘI 
                ",https://mytour.vn/tour/9136-ha-noi-quan-ba-yen-minh-cot-co-lung-cu-pho-co-dong-van-ha-noi.html, Thứ 7 hàng tuần,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/ltw1441357919_tour-du-lich-ha-noi-ha-giang-dong-van-trong-3-ngay-2-dem.jpg","2,340,000"
"
                    Du thuyền Hạ Long Dragon  Gold Cruise 3 sao  2 ngày 1 đêm
                ",https://mytour.vn/tour/2026-du-thuyen-ha-long-dragon-gold-cruise-3-sao-2-ngay-1-dem.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/opf1418889811_du-thuyen-5-sao-paradise-2-ngay-1-dem.jpg","2,090,000"
"
                    Tour du lịch Tây Ninh - địa đạo Củ Chi trong 1 ngày
                ",https://mytour.vn/tour/8997-tour-du-lich-tay-ninh-dia-dao-cu-chi-trong-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/pio1436426254_tour-du-lich-tay-ninh-dia-dao-cu-chi-trong-1-ngay.jpg","230,000"
"
                    Du Lịch Miền Tây Sông Nước Mỹ Tho - Bến Tre 1 Ngày
                ",https://mytour.vn/tour/8838-du-lich-mien-tay-song-nuoc-my-tho-ben-tre-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/yiz1421037562_du-lich-mien-tay-song-nuoc-my-tho-ben-tre-1-ngay.jpg","250,000"
"
                    Tour du lịch Hoa Lư - Tam Cốc - Cúc Phương 2 ngày 1 đêm
                ",https://mytour.vn/tour/9055-tour-du-lich-hoa-lu-tam-coc-cuc-phuong-2-ngay-1-dem.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/yay1437148496_tour-du-lich-hoa-lu-tam-coc-cuc-phuong-2-ngay-1-dem.jpg","2,050,000"
"
                    Du ngoạn Hoa Lư - Tam Cốc trong 1 ngày
                ",https://mytour.vn/tour/10-du-ngoan-hoa-lu-tam-coc-trong-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/gwz1402462145.jpg","590,000"
"
                    Hà Nội- Sapa 2 ngày 1 đêm 
                ",https://mytour.vn/tour/263-ha-noi-sapa-2-ngay-1-dem.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/wgm1419237284_du-lich-ha-noi-sapa-cat-cat-ham-rong-thac-bac-3-ngay-2-dem-gia-hap-dan.jpg","1,590,000"
"
                    Khám phá Hà Nội trong 1 ngày
                ",https://mytour.vn/tour/1746-kham-pha-ha-noi-trong-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/obz1342230444.jpg","490,000"
"
                    Tour Sapa - Cát Cát - Hàm Rồng trong 2 ngày 3 đêm khởi hành hàng ngày
                ",https://mytour.vn/tour/2142-tour-sapa-cat-cat-ham-rong-trong-2-ngay-3-dem-khoi-hanh-hang-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/okw1403063939.jpg","1,010,000"
"
                    Du lịch Chùa Bái Đính - Tràng An -Phim Trường King Kong 1 ngày
                ",https://mytour.vn/tour/2486-du-lich-chua-bai-dinh-trang-an-phim-truong-king-kong-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/emu1402566630.jpg","590,000"
"
                     Tour Du lịch Chùa Hương 1 ngày
                ",https://mytour.vn/tour/6252-tour-du-lich-chua-huong-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/hdn1402564230.jpg","530,000"
"
                    Tour Hà Nội - Hạ Long 2 Ngày Ngủ Khách Sạn Tuần Châu
                ",https://mytour.vn/tour/7246-tour-ha-noi-ha-long-2-ngay-ngu-khach-san-tuan-chau.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/fni1370246781.jpg","1,790,000"
"
                    Tour Du Lịch Hạ Long Swan Cruise 2 ngày 1 đêm
                ",https://mytour.vn/tour/7985-tour-du-lich-ha-long-swan-cruise-2-ngay-1-dem.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/jqk1554107253_tour_du_lich_ha_long_swan_cruise_2_ngay_1_dem.jpg","2,550,000"
"
                    Tour Du Lịch Đà Nẵng - Huế - Đà Nẵng 1 ngày 
                ",https://mytour.vn/tour/8190-tour-du-lich-da-nang-hue-da-nang-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/ib61459138054_tour_du_lich_da_nang_hue_da_nang_1_ngay.jpg","825,000"
"
                    Du lịch Sapa - Cát Cát – Hàm Rồng – Lao Chải – Tả Van trong 3 ngày 4 đêm
                ",https://mytour.vn/tour/8320-du-lich-sapa-cat-cat-ham-rong-lao-chai-ta-van-trong-3-ngay-4-dem.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/hhk1391655570.jpg","1,990,000"
"
                    Du Lịch Huế - Động Thiên Đường - Phong Nha 2 Ngày 1 Đêm
                ",https://mytour.vn/tour/8471-du-lich-hue-dong-thien-duong-phong-nha-2-ngay-1-dem.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/him1394091298.jpg","1,970,000"
"
                    MỸ THO – BẾN TRE - CẦN THƠ – CHÂU ĐỐC 3 NGÀY 2 ĐÊM
                ",https://mytour.vn/tour/8489-my-tho-ben-tre-can-tho-chau-doc-3-ngay-2-dem.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/ley1402029451.jpg","1,150,000"
"
                    Phú Quốc – THAM QUAN NAM - ĐÔNG ĐẢO – 6 tiếng
                ",https://mytour.vn/tour/8492-phu-quoc-tham-quan-nam-dong-dao-6-tieng.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/uod1447925788_phu-quoc-tham-quan-nam-dong-dao-6-tieng.jpg","420,000"
"
                    Du ngoạn Huế- Động Thiên Đường trong 1 ngày
                ",https://mytour.vn/tour/8580-du-ngoan-hue-dong-thien-duong-trong-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/zwu1397874180.jpg","770,000"
"
                    Du thuyền trên Vịnh Hạ Long trong 1 ngày
                ",https://mytour.vn/tour/8659-du-thuyen-tren-vinh-ha-long-trong-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/auh1402973480.jpg","750,000"
"
                    Tour Du Lịch Tham Quan Thành Phố Huế 1 Ngày
                ",https://mytour.vn/tour/8668-tour-du-lich-tham-quan-thanh-pho-hue-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/nyv1403861056.jpg","300,000"
"
                    Tham Quan Bình Ba- Quốc đảo tôm  hùm 1 Ngày
                ",https://mytour.vn/tour/8687-tham-quan-binh-ba-quoc-dao-tom-hum-1-ngay.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/maz1406538846.jpg","570,000"
"
                    Tour du lịch Đà Lạt - thành phố tình yêu trong 3 ngày 2 đêm
                ",https://mytour.vn/tour/9027-tour-du-lich-da-lat-thanh-pho-tinh-yeu-trong-3-ngay-2-dem.html, Hàng ngày,"https://staticproxy.mytourcdn.com/480x360,q90/resources/pictures/tours/zij1436813578_tour-du-lich-da-lat-thanh-pho-tinh-yeu-trong-3-ngay-2-dem.JPG",
,https://travel.com.vnNone,,,
"Miền Tây - Sa Đéc - Cần Thơ - Cà Mau - Bạc Liêu - Sóc Trăng (khách sạn 3*, 4* và 5*, Tour Tiêu Chuẩn)","https://travel.com.vn/tourNDSGN846-068-050619XE-D/mien-tay-sa-dec-can-tho-ca-mau-bac-lieu-soc-trang-khach-san-3sao,-4sao-va-5sao,-tour-tieu-chuan.aspx","  Khởi hành: 05/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_180105030136_386697.jpg,"
                                3,690,000 đ
                            "
Miền Tây - Mỹ Tho - Thới Sơn - Bến Tre - Cần Thơ - khách sạn 3 sao (Tour Tiết Kiệm),https://travel.com.vn/tourNDSGN835-020-050619XE-V/mien-tay-my-tho-thoi-son-ben-tre-can-tho-khach-san-3-sao-tour-tiet-kiem.aspx,"  Khởi hành: 05/06/2019 05:45
                            ",https://travel.com.vn/Images/destination/tf_171205111433_833945.jpg,"
                                1,390,000 đ
                            "
"Phú Quốc -  Ngắm Hoàng Hôn Tại Sunset Sanato - Thiền Viện Trúc Lâm Hộ Quốc (Resort 4*, Tour Tiết Kiệm)","https://travel.com.vn/tourNDSGN878-073-050619VJ-V-1/phu-quoc-ngam-hoang-hon-tai-sunset-sanato-thien-vien-truc-lam-ho-quoc-resort-4sao,-tour-tiet-kiem.aspx","  Khởi hành: 05/06/2019 09:35
                            ",https://travel.com.vn/Images/destination/tf_180110044009_909799.jpg,"
                                5,390,000 đ
                            "
"Miền Tây - Làng Bè Châu Đốc - Chùa Hang Phước Điền - Rừng Tràm Trà Sư - Hà Tiên - Rạch Giá - Cần Thơ - Cồn Sơn (Khách sạn 2*&3*, Tour Tiết Kiệm)","https://travel.com.vn/tourNDSGN849-022-060619XE-V/mien-tay-lang-be-chau-doc-chua-hang-phuoc-dien-rung-tram-tra-su-ha-tien-rach-gia-can-tho-con-son-khach-san-2sao-3sao,-tour-tiet-kiem.aspx","  Khởi hành: 06/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_180912060627_365296.jpg,"
                                3,290,000 đ
                            "
"Miền Tây - Sa Đéc - Cần Thơ - Cà Mau - Bạc Liêu - Sóc Trăng (khách sạn 3*, 4* và 5*, Tour Tiêu Chuẩn)","https://travel.com.vn/tourNDSGN846-057-060619XE-D-1/mien-tay-sa-dec-can-tho-ca-mau-bac-lieu-soc-trang-khach-san-3sao,-4sao-va-5sao,-tour-tieu-chuan.aspx","  Khởi hành: 06/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_180105030136_386697.jpg,"
                                3,690,000 đ
                            "
"Miền Tây - Sa Đéc - Cần Thơ - Cà Mau - Bạc Liêu - Sóc Trăng (khách sạn 3*&4*, Tour Tiêu Chuẩn)","https://travel.com.vn/tourNDSGN846-057-060619XE-D/mien-tay-sa-dec-can-tho-ca-mau-bac-lieu-soc-trang-khach-san-3sao-4sao,-tour-tieu-chuan.aspx","  Khởi hành: 06/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_180105030136_386697.jpg,"
                                3,490,000 đ
                            "
Buôn Ma Thuột - Bản Đôn - Hồ Lắk - Buôn Kôtam - Bảo Tàng Cà Phê Thế Giới (Khách sạn 5*. Tour Tiết Kiệm),https://travel.com.vn/tourNDSGN574-022-060619XE-V-1/buon-ma-thuot-ban-don-ho-lak-buon-kotam-bao-tang-ca-phe-the-gioi-khach-san-5sao-tour-tiet-kiem.aspx,"  Khởi hành: 06/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_181227125346_637240.jpg,"
                                3,990,000 đ
                            "
Buôn Ma Thuột - Bản Đôn - Hồ Lắk - Buôn Kôtam - Bảo Tàng Cà Phê Thế Giới (Tour Tiết Kiệm) ,https://travel.com.vn/tourNDSGN574-022-060619XE-V/buon-ma-thuot-ban-don-ho-lak-buon-kotam-bao-tang-ca-phe-the-gioi-tour-tiet-kiem-.aspx,"  Khởi hành: 06/06/2019 05:30
                            ",https://travel.com.vn/Images/destination/tf_181227125346_637240.jpg,"
                                3,390,000 đ
                            "
